Estado,Cidade,CNPJ,Sigla,Razão Social,"Resultado
2ª FASE","Linha
Solicitada",Valor,Classificação,DATA INÍCIO,DATA FIM,Processo SEI
São Paulo,SÃO PAULO,61796835000194,IBAPE,INSTITUTO BRASILEIRO DE AVALIAÇÕES E PERÍCIAS DE ENGENHARIA,Classificada,1,"R$ 100.000,00",1,2/4/2024,6/17/2024,00.007573/2024-40
São Paulo,PAULÍNIA,58999053000148,AEAP,ASSOCIAÇÃO DE ENGENHEIROS E AGRÔNOMOS DE PAULÍNIA,Classificada,1,"R$ 100.000,00",2,-,-,00.007496/2024-28
Sergipe,ARACAJU,13033030000146,AEASE,ASSOCIAÇÃO DOS ENGENHEIROS AGRONÔMOS DE SERGIPE,Classificada,1,"R$ 80.000,00",3,3/20/2025,6/30/2025,00.007476/2024-57
Paraná,MARINGÁ,76246024000197,AEAM,ASSOCIAÇÃO DE ENGENHEIROS E ARQUITETOS DE MARINGÁ,Classificada,1,"R$ 100.000,00",4,2/10/2025,6/30/2025,00.007433/2024-71
Santa Catarina,BLUMENAU,82666199000156,AEAMVI,ASSOCIAÇÃO DOS ENGENHEIROS E ARQUITETOS DO MÉDIO VALE DO ITAJAÍ,Classificada,1,"R$ 100.000,00",5,5/22/2025,5/24/2025,00.007474/2024-68
São Paulo,SÃO PAULO,65714784000165,IBAPE/SP,INSTITUTO BRASILEIRO DE AVALIAÇÕES E PERÍCIAS DE ENGENHARIA,Classificada,1,"R$ 88.568,86",6,9/30/2024,6/30/2025,00.007574/2024-94
São Paulo,INDAIATUBA,51282325000145,AEAI,ASSOCIAÇÃO DOS ENGENHEIROS ARQUITETOS E AGRÔNOMOS DE INDAIATUBA,Classificada,1,"R$ 100.000,00",7,2/20/2025,6/30/2025,00.007506/2024-25
Santa Catarina,BALNEÁRIO CAMBORIÚ,83825083000185,AREAITAJAI,AREA ITAJAÍ,Classificada,1,"R$ 100.000,00",8,2/10/2025,6/30/2025,00.007465/2024-77
Santa Catarina,CRICIÚMA,75564450000106,ASCEA,ASSOCIAÇÃO SUL CATARINENSE DE ENGENHEIROS E ARQUITETOS,Classificada,1,"R$ 100.000,00",9,2/10/2025,6/30/2025,00.007468/2024-19
Rondônia,PORTO VELHO,04418497000113,AREF,ASSOCIAÇÃO RONDONIENSE DE ENGENHEIROS FLORESTAIS,Classificada,1,"R$ 60.000,00",10,3/1/2025,6/30/2025,00.007454/2024-97
São Paulo,BIRIGUI,51107548000176,ASSENAB,ASSOCIAÇÃO DOS ENGENHEIROS E ARQUITETOS DE BIRIGUI,Classificada,1,"R$ 100.000,00",11,3/5/2025,4/25/2025,00.007522/2024-18
Santa Catarina,FLORIANÓPOLIS,79886032000196,ACEST,ASSOCIAÇÃO CATARINENSE DE ENGENHARIA DE SEGURANÇA DO TRABALHO,Classificada,1,"R$ 100.000,00",12,2/20/2025,6/30/2025,00.007472/2024-79
São Paulo,PIRACICABA,54407911000167,AEAP,ASSOCIAÇÃO DOS ENGENHEIROS E ARQUITETOS DE PIRACICABA,Classificada,1,"R$ 100.000,00",13,-,-,00.007537/2024-86
Paraná,GUARAPUAVA,18241317000185,APROGEO,ASSOCIAÇÃO PROFISSIONAL DOS GEÓGRAFOS DO ESTADO DO PARANÁ,Classificada,1,"R$ 100.000,00",14,4/2/2025,4/2/2025,00.007446/2024-41
São Paulo,MOGI MIRIM,61712147000107,ASEAAMMIRIM,"ASSOCIAÇÃO DE ENGENHARIA, ARQUITETURA E AGRONOMIA DE MOGI MIRIM",Classificada,1,"R$ 100.000,00",15,4/7/2025,4/9/2025,00.007491/2024-03
Paraná,PATO BRANCO,00072081000135,AEAPB,ASSOCIAÇÃO DOS ENGENHEIROS AGRÔNOMOS DE PATO BRANCO,Classificada,1,"R$ 100.000,00",16,2/20/2025,6/30/2025,00.007437/2024-50
