CNPJ;SEI;INICIO_EXECUCAO;FIM_EXECUCAO;TERMO_DE_FOMENTO;STATUS;VALOR_PRIMEIRO_REPASSE;DATA_PRIMEIRO_REPASSE;VALOR_SEGUNDO_REPASSE;DATA_SEGUNDO_REPASSE;FISCAL_SUPLENTE;SITUACAO_FINAL
51870541000101;00.002176/2026-43;2026-04-15;2026-06-20;001/2026;Em execução;80000;2026-06-30;20000;2026-09-01;;
61712147000107;00.002177/2026-98;2026-06-01;2026-10-05;010/2026;Primeiro Repasse;80000;2026-07-15;20000;2027-01-10;;
18241317000185;00.002178/2026-32;2026-06-15;2026-10-15;025/2026;Segundo Repasse;80000;2026-08-01;20000;2028-05-20;;
51101830000146;00.002179/2026-87;2026-07-01;2026-10-25;040/2026;Em prestação de Contas;80000;2026-08-30;20000;2029-10-30;;
83080077000146;00.002180/2026-10;2026-07-15;2026-10-30;050/2026;Finalizado;80000;2026-07-10;20000;2026-12-15;;
51918381000123;00.002181/2026-56;;;;;;;;;;
49842578000184;00.002182/2026-09;;;;;;;;;;
51902617000133;00.002183/2026-45;;;;;;;;;;
78305224000107;00.002184/2026-90;;;;;;;;;;
46314464000173;00.002185/2026-34;;;;;;;;;;
50508134000196;00.002186/2026-89;;;;;;;;;;
68323054000121;00.002187/2026-23;;;;;;;;;;
54346606000102;00.002188/2026-78;;;;;;;;;;
51521870000147;00.002189/2026-12;;;;;;;;;;
86961919000167;00.002190/2026-47;;;;;;;;;;
28711489000129;00.002191/2026-91;;;;;;;;;;
05199815000165;00.002192/2026-36;;;;;;;;;;
09255901000107;00.002193/2026-81;;;;;;;;;;
51901049000156;00.002194/2026-25;;;;;;;;;;
09084077000161;00.002195/2026-70;;;;;;;;;;
04532701000122;00.002196/2026-14;;;;;;;;;;
00460081000102;00.002197/2026-69;;;;;;;;;;
03538637000124;00.002198/2026-11;;;;;;;;;;
49889488000149;00.002199/2026-58;;;;;;;;;;
76715408000101;00.002200/2026-44;;;;;;;;;;
24862757000152;00.002201/2026-99;;;;;;;;;;
51107548000176;00.002202/2026-33;;;;;;;;;;
52346152000144;00.002203/2026-88;;;;;;;;;;
44645166000130;00.002204/2026-22;;;;;;;;;;
79255725000180;00.002205/2026-77;;;;;;;;;;
82666199000156;00.002206/2026-11;;;;;;;;;;
33945015000181;00.002207/2026-66;;;;;;;;;;
51855021000120;00.002208/2026-19;;;;;;;;;;
51821288000104;00.002209/2026-55;;;;;;;;;;
18519751000184;00.002210/2026-80;;;;;;;;;;
22267312000107;00.002211/2026-24;;;;;;;;;;
55357099000175;00.002212/2026-79;;;;;;;;;;
00854137000103;00.002213/2026-13;;;;;;;;;;
51325736000170;00.002214/2026-68;;;;;;;;;;
45103496000167;00.002215/2026-11;;;;;;;;;;
48647382000176;00.002216/2026-57;;;;;;;;;;
04350121000114;00.002217/2026-00;;;;;;;;;;
48020424000144;00.002218/2026-46;;;;;;;;;;
57715484000172;00.002219/2026-91;;;;;;;;;;
59754515000120;00.002220/2026-15;;;;;;;;;;
44860666000195;00.002221/2026-60;;;;;;;;;;
54354600000187;00.002222/2026-12;;;;;;;;;;
03860786000105;00.002223/2026-59;;;;;;;;;;
48676388000171;00.002224/2026-01;;;;;;;;;;
83932483000190;00.002136/2026-00;;;;;;;;;;
09940750000118;00.002225/2026-48;;;;;;;;;;
82603655000119;00.002226/2026-92;;;;;;;;;;
55751812000160;00.002227/2026-37;;;;;;;;;;
51899235000106;00.002228/2026-81;;;;;;;;;;
08038132000114;00.002229/2026-26;;;;;;;;;;
