DIMENSÃO,COMPONENTE,INDICADOR,ID,INDICADOR NEGATIVADO,ANO,FONTE,DESCRIÇÃO / CÁLCULO,UNIDADE,INTERPRETAÇÃO,
MOBILIDADE,DESLOCAMENTO INTRAMUNICIPAL,Qualidade dos ônibus,mob_urbano_4,,2024,MUNIC,"Índice composto que multiplica a quantidade de municípios com disponibilidade de frota de ônibus pela qualidade do serviço, considerando ônibus regulados, a existência de frotas adaptadas e infraestrutura de embarque acessível. Divide-se o resultado pelo total de municípios da UF.",Índice  (1 - 100),"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, melhor a qualidade das frotas de ônibus circulantes.",
MOBILIDADE,DESLOCAMENTO INTRAMUNICIPAL,Infraestrutura cicloviária,mob_urbano_3,,2024,MUNIC,Média simples do percentual de municípios com presença de ciclofaixa/ciclovia/ciclorota na UF dividido pelo total de municípios da UF.,% de municípios,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior a cobertura da infraestrutura cicloviária.",
MOBILIDADE,DESLOCAMENTO INTRAMUNICIPAL,Presença de transporte de alta capacidade,mob_urbano_2,,2024,MUNIC,Média simples do percentual de municípios com presença de metrô na UF dividido pelo total de municípios da UF com o percentual de municípios com presença de trem na UF dividido pelo total de municípios da UF.,% de municípios,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior a disponibilidade de transportes de alta capacidade.",
MOBILIDADE,DESLOCAMENTO INTRAMUNICIPAL,Índice de diversidade modal,mob_urbano_1,,2024,MUNIC,"Média simples do percentual de municípios da UF que contém modais específics (barco, metrô, mototáxi, táxi, trem, van, avião e aplicativos), pelo total de municípios da UF.",% de municípios,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior o número de opções para transporte na UF.",
MOBILIDADE,RODOVIAS,Mortalidade por acidentes de transporte,mob_rod_5,NEGATIVADO,2024,DATASUS,"Quantidade total de óbitos causados por acidentes de transporte terrestre no ano de referência, dividido pela população total da UF.",% de população,"Interpretação dos dados: O dado foi invertido para que, quanto maior o resultado da UF neste indicador, menor a mortalidade por acidentes de transporte.",
MOBILIDADE,RODOVIAS,Índice de Condição da Manutenção (ICM) de rodovias federais,mob_rod_4,,2025,DNIT,"Percentual de km classificados como ""bons"" no Índice de Condição da Manutenção (ICM < 30) em relação a quantidade total de quilômetros de rodovias federais na UF, utilizando como referência os dados do último mês do ano de referência.",Índice (0 - 100),"Interpretação dos dados: O dado foi invertido para que, quanto maior o resultado da UF neste indicador, melhor é o Índice de Condição da Manutenção (ICM) de rodovias federais.",
MOBILIDADE,RODOVIAS,Qualidade das rodovias estaduais,mob_rod_3,,2025,ANTT - Pistas Marginais,"Percentual de rodovias estaduais com pavimento classificado como bom ou ótimo por UF, divivido pela extensão total da malha rodoviária analisada no painel rodoviário.",% de rodovias,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, melhor é a qualidade das rodovias estaduais.",
MOBILIDADE,RODOVIAS,Qualidade da geometria rodoviária,mob_rod_1,NEGATIVADO,2025,CNT - Transporte Rodoviário,"Percentual da malha rodoviária com geometria classificada como boa ou ótima na pesquisa CNT do ano de referência, dividido pela extensão total da malha rodiviária da UF.",% de rodovias,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, melhor é a qualidade da geometria rodoviária.",
MOBILIDADE,PORTOS,Volume de movimenatação portuária,mob_portos_4,,2025,ANTAQ,Volume total de cargas movimentadas nos portos da UF (em toneladas) dividido pelo PIB nominal da UF.,Tonelada / R$,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior o volume de movimentação portuária.",
MOBILIDADE,PORTOS,Produtividade média de movimentação,mob_portos_3,,2025,ANTAQ,Peso total das cargas movimentadas (toneladas) dividido pelo somatório das horas de operação efetiva de todos os navios que atracaram nas instalações portuárias da UF.,Toneladas / hora,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior é a produtividade média de movimentação.",
MOBILIDADE,PORTOS,Tempo médio de espera para atracação,mob_portos_2,NEGATIVADO,2025,ANTAQ,"Média aritmética do tempo decorrido entre a chegada do navio na zona de fundeio e a efetiva atracação no berço, expressa em horas, para todas as operações portuárias registradas na UF.",Horas,"Interpretação dos dados: O dado foi invertido para que, quanto maior o resultado da UF neste indicador, menor o tempo médio de espera para atracação.",
MOBILIDADE,ESCOAMENTO DE CARGA,Volume transportado via cabotagem,mob_carga_5,,2026,ANTAQ,Volume de carga transportada via cabotagem vinculadas ao estado dividdo pelo montante absoluto de carga na UF.,Tonelada,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior é o volume de carga transportada via cabotagem.",
MOBILIDADE,ESCOAMENTO DE CARGA,"Arrecadação por atividade logística (aquaviário, aéreo, ferroviário e rodoviário)",mob_carga_4,,2025,RAIS,Razão entre a soma do rendimento total dos vínculos formais classificados na seção 52 da CNAE (Armazenamento e atividades auxiliares dos transportes) e o PIB nominal da UF no mesmo período.,% participação no PIB da UF,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior é a arrecadação através de atividades logísticas (aquaviário, aéreo, ferroviário e rodoviário).",
MOBILIDADE,ESCOAMENTO DE CARGA,Tonelada por Quilômetro Útil (TKU) ferroviário,mob_carga_3,,2025,CNT,Refere-se ao somatório da carga líquida (em toneladas) multiplicada pela distância de malha ferroviária (em quilômetros).,Tonelada / Km,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior é o TKU ferroviário na região.",
MOBILIDADE,ESCOAMENTO DE CARGA,Volume de movimentação hidroviária Interior,mob_carga_1,,2025,ANTAQ,Relação entre a contagem de instalações portuárias fluviais e a tonelagem de navegação interior por UF.,Instalações / tonelada,"Interpretação dos dados: Quanto maior o resultado da UF neste indicador, maior é a o volume de movimentação hidroviária interior na UF.",
MOBILIDADE,AEROPORTOS,Capacidade de tráfego aéreo instalada,mob_aero_3,,2025,ANAC,"Total de decolagens realizadas com origem no estado, dividido pela população residente na UF.",Decolagens / habitantes,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, melhor é a capacidade de tráfego aéreo instalada.",
MOBILIDADE,AEROPORTOS,Conectividade da malha aeroportuária,mob_aero_2,,2025,ANAC,"Quantidade de aeródromos de destino distintos conectados a partir da UF, dividido pelo PIB per capita da UF.",Aeródromos / PIB per capita,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, melhor é a conectividade da malha aeroportuária.",
MOBILIDADE,AEROPORTOS,Densidade de aeródromos,mob_aero_1,,2025,ANAC,Quantidade de aeródromos dividido pela área da UF.,Aeródromos / km²,"Interpretação dos dados: Quanto maior o resultado da UF nesse indicador, maior é a densidade de aeródromos.",
