value,rank,color,sigla_uf,state_id,dimension_id,dimension_name
"11,28",27,1,AC,12,dim_saneamento_basico,SANEAMENTO BÁSICO
"46,7",17,2,AL,27,dim_saneamento_basico,SANEAMENTO BÁSICO
"45,28",18,2,AM,13,dim_saneamento_basico,SANEAMENTO BÁSICO
"46,79",16,2,AP,16,dim_saneamento_basico,SANEAMENTO BÁSICO
"39,74",24,1,BA,29,dim_saneamento_basico,SANEAMENTO BÁSICO
"51,19",14,2,CE,23,dim_saneamento_basico,SANEAMENTO BÁSICO
"80,19",1,3,DF,53,dim_saneamento_basico,SANEAMENTO BÁSICO
"64,06",6,3,ES,32,dim_saneamento_basico,SANEAMENTO BÁSICO
"55,57",10,2,GO,52,dim_saneamento_basico,SANEAMENTO BÁSICO
"18,85",26,1,MA,21,dim_saneamento_basico,SANEAMENTO BÁSICO
"64,34",5,3,MG,31,dim_saneamento_basico,SANEAMENTO BÁSICO
"54,42",11,2,MS,50,dim_saneamento_basico,SANEAMENTO BÁSICO
"56,56",9,3,MT,51,dim_saneamento_basico,SANEAMENTO BÁSICO
"40,72",23,1,PA,15,dim_saneamento_basico,SANEAMENTO BÁSICO
"43,96",20,1,PB,25,dim_saneamento_basico,SANEAMENTO BÁSICO
"31,02",25,1,PE,26,dim_saneamento_basico,SANEAMENTO BÁSICO
"42,96",22,1,PI,22,dim_saneamento_basico,SANEAMENTO BÁSICO
"76,29",2,3,PR,41,dim_saneamento_basico,SANEAMENTO BÁSICO
"59,18",8,3,RJ,33,dim_saneamento_basico,SANEAMENTO BÁSICO
"42,97",21,1,RN,24,dim_saneamento_basico,SANEAMENTO BÁSICO
"53,12",12,2,RO,11,dim_saneamento_basico,SANEAMENTO BÁSICO
"44,22",19,1,RR,14,dim_saneamento_basico,SANEAMENTO BÁSICO
"67,05",4,3,RS,43,dim_saneamento_basico,SANEAMENTO BÁSICO
"73,85",3,3,SC,42,dim_saneamento_basico,SANEAMENTO BÁSICO
"52,22",13,2,SE,28,dim_saneamento_basico,SANEAMENTO BÁSICO
"60,29",7,3,SP,35,dim_saneamento_basico,SANEAMENTO BÁSICO
"50,13",15,2,TO,17,dim_saneamento_basico,SANEAMENTO BÁSICO
"22,43",25,1,AC,12,dim_agua,ÁGUA
"37,92",21,1,AL,27,dim_agua,ÁGUA
"44,79",17,2,AM,13,dim_agua,ÁGUA
"20,44",26,1,AP,16,dim_agua,ÁGUA
"66,24",8,3,BA,29,dim_agua,ÁGUA
"54,67",14,2,CE,23,dim_agua,ÁGUA
"73,04",2,3,DF,53,dim_agua,ÁGUA
"61,1",12,2,ES,32,dim_agua,ÁGUA
"70,3",4,3,GO,52,dim_agua,ÁGUA
"36,22",22,1,MA,21,dim_agua,ÁGUA
"65,23",9,3,MG,31,dim_agua,ÁGUA
