value,rank,color,sigla_uf,state_id,indicator_id,component_id,component_name,dimension_id,dimension_name,indicator_name,ano,descricao,fonte
"39,19",19,1,AC,12,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"31,52",20,1,AL,27,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"40,07",18,2,AM,13,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"6,48",27,1,AP,16,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"56,29",14,2,BA,29,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"50,47",17,2,CE,23,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"77,47",2,3,DF,53,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"70,94",6,3,ES,32,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"50,52",16,2,GO,52,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
"27,46",23,1,MA,21,ag_esg_1,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO,Adequação do esgoto sanitário,2024,"Proporção de tipos esgotamento senitários que não sejam considerados ""outros tipos"" (alternativos ou precários) por UF.",IBGE/SIDRA
