value,rank,color,sigla_uf,state_id,component_id,component_name,dimension_id,dimension_name
"4,41",27,1,AC,12,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"38,97",22,1,AL,27,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"67,06",7,3,AM,13,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"61,48",12,2,AP,16,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"41,08",21,1,BA,29,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"62,16",11,2,CE,23,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"75,92",1,3,DF,53,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"53,19",16,2,ES,32,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"69,74",5,3,GO,52,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"15,47",25,1,MA,21,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"62,38",10,2,MG,31,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"38,31",23,1,MS,50,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"64,52",9,3,MT,51,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"56,35",14,2,PA,15,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"37,74",24,1,PB,25,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"7,9",26,1,PE,26,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"65,83",8,3,PI,22,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"69,18",6,3,PR,41,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"46,7",17,2,RJ,33,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
"42,67",19,1,RN,24,comp_saneamento_basico__esgoto,ESGOTO,dim_saneamento_basico,SANEAMENTO BÁSICO
