sigla_uf,infra_br,state_id,rank,color
AC,"28,46",12,27,1
AL,"44,24",27,18,2
AM,"36,61",13,24,1
AP,"33,94",16,26,1
BA,"47,86",29,14,2
CE,"49,3",23,13,2
DF,"74,67",53,1,3
ES,"57,01",32,8,3
GO,"56,19",52,9,3
MA,"36,84",21,23,1
MG,"63,59",31,6,3
MS,"53,81",50,11,2
MT,"55,2",51,10,2
PA,"34,41",15,25,1
PB,"45,28",25,17,2
PE,"43,02",26,20,1
PI,"41,1",22,21,1
PR,"64,8",41,5,3
RJ,"65,84",33,3,3
RN,44,24,19,1
RO,"46,52",11,16,2
RR,"37,66",14,22,1
RS,"59,58",43,7,3
SC,"65,24",42,4,3
SE,"51,39",28,12,2
SP,"68,49",35,2,3
TO,"47,7",17,15,2
